id,text,source_forum,timestamp
post_1,access to ecommerce site network bypass av 500 usd monero,breachforums,2024-01-23 18:27:00
post_2,selling 100k credit card from government bulk discount btc,raidforums,2024-06-15 22:34:00
post_3,ddos as a service tested monero only serious buyers,darknetlive,2024-02-09 06:48:00
post_4,fresh logs dump 100k records healthcare provider xmr accepted,raidforums,2024-04-27 17:07:00
post_5,fresh database dump 1 million records crypto exchange usdt accepted,hackforums,2024-03-15 02:54:00
post_6,malware builder persistent bypass office365 0.5 btc,darknetlive,2024-03-31 06:42:00
post_7,fresh botnet logs 100k lines encrypted daily,exploit_in,2024-03-10 20:44:00
post_8,keylogger as a service guaranteed bitcoin only serious buyers,exploit_in,2024-01-17 06:58:00
post_9,phishing kit retailer clone persistent usdt,exploit_in,2024-02-05 07:47:00
post_10,leak from crypto exchange 1 million records includes logs,breachforums,2024-05-06 02:48:00
post_11,malware builder modular bypass apache server auction,raidforums,2024-04-08 12:38:00
post_12,leak from healthcare provider 1 million records includes credential,raidforums,2024-03-16 13:10:00
post_13,selling 1 million ssn from social media negotiable usdt,hackforums,2024-02-20 04:23:00
post_14,leak from retailer 50k records includes database,exploit_in,2024-01-15 07:56:00
post_15,fresh account dump 100k records healthcare provider btc accepted,exploit_in,2024-05-20 05:16:00
post_16,malware builder no logs bypass vpn client auction,raidforums,2024-06-20 20:23:00
post_17,phishing kit government clone fud fully undetected bitcoin,hackforums,2024-05-21 07:37:00
post_18,selling 100k credential from government negotiable bitcoin,raidforums,2024-03-01 08:42:00
post_19,ddos as a service silent install crypto only serious buyers,darknetlive,2024-01-25 21:27:00
post_20,5k account from major bank verified usdt,hackforums,2024-03-27 03:15:00
post_21,spyware as a service silent install xmr only serious buyers,breachforums,2024-04-23 17:06:00
post_22,access to government network encrypted 500 usd crypto,raidforums,2024-04-12 01:10:00
post_23,selling 5k combolist from retailer 1000 usd crypto,breachforums,2024-02-18 09:13:00
post_24,spyware source code automated negotiable limited offer,breachforums,2024-02-10 01:32:00
post_25,malware builder guaranteed bypass apache server negotiable,exploit_in,2024-05-25 07:37:00
post_26,selling 100k logs from crypto exchange bulk discount btc,hackforums,2024-06-20 22:20:00
post_27,zero day in router firmware fud fully undetected unpatched selling 0.5 btc,breachforums,2024-06-08 18:06:00
post_28,leak from fortune 500 500k records includes combolist,exploit_in,2024-02-10 14:53:00
post_29,fresh malware logs 1 million lines persistent daily,exploit_in,2024-01-30 03:47:00
post_30,new keylogger available silent install contact for 500 usd,breachforums,2024-05-09 15:16:00
post_31,fresh combolist dump 5k records major bank xmr accepted,raidforums,2024-04-23 17:45:00
post_32,leak from healthcare provider 50k records includes fullz,raidforums,2024-05-29 17:09:00
post_33,new keylogger available silent install contact for auction,exploit_in,2024-06-19 03:22:00
post_34,phishing kit government clone guaranteed monero,darknetlive,2024-02-15 23:59:00
post_35,credit card stuffing list ecommerce site 5k checked usdt,raidforums,2024-04-30 07:12:00
post_36,exploit for office365 guaranteed negotiable escrow available,darknetlive,2024-03-12 02:49:00
post_37,exploit for android modular negotiable escrow available,raidforums,2024-01-10 03:38:00
post_38,exploit for ios browser modular bulk discount escrow available,raidforums,2024-03-06 01:45:00
post_39,selling 500k database from hospital negotiable usdt,darknetlive,2024-06-18 03:46:00
post_40,leak from university 1 million records includes logs,raidforums,2024-02-19 13:42:00
post_41,access to hospital network no logs bulk discount bitcoin,darknetlive,2024-04-20 18:38:00
post_42,buying account from government paying bulk discount in crypto,exploit_in,2024-05-11 21:40:00
post_43,exploit for windows kernel fud fully undetected 500 usd escrow available,breachforums,2024-03-03 15:39:00
post_44,buying credit card from hospital paying 0.5 btc in crypto,hackforums,2024-01-28 13:14:00
post_45,credential stuffing list social media 2 million checked bitcoin,exploit_in,2024-06-19 16:35:00
post_46,exploit for android encrypted 0.5 btc escrow available,exploit_in,2024-03-04 20:17:00
post_47,buying combolist from retailer paying negotiable in usdt,exploit_in,2024-03-26 10:57:00
post_48,fresh ssn dump 200k records government usdt accepted,exploit_in,2024-04-16 13:21:00
post_49,buying credential from government paying auction in crypto,breachforums,2024-05-27 12:30:00
